"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-129",-3.30993640848056,6.72712396527778,-18.3868913465589,9.83589895822769e-60,4.62287251036702e-57,125.183108020056
"hsa-miR-769-5p",-1.29971250141343,6.51881425173611,-16.2109898505294,5.9270033474739e-49,1.39284578665637e-46,100.50746341885
"hsa-miR-139",-4.02617319540635,7.03019524479167,-16.0701756290788,2.84938268453415e-48,4.46403287243683e-46,98.9469872411626
"hsa-miR-433",-1.06039055724381,5.98045390104167,-15.5521083462339,8.7903183869381e-46,9.51673818227829e-44,93.2512587016999
"hsa-miR-491",-2.01630054699646,6.71974877083333,-15.5392542276008,1.01241895556152e-45,9.51673818227829e-44,93.1108821472682
"hsa-miR-218",-3.28784596749116,6.73221379166667,-14.9961272843156,3.79049645091313e-43,2.96922221988195e-41,87.2239393772578
"hsa-miR-137",-3.74258702261484,6.72261124652778,-14.662083264811,1.38643728295924e-41,9.30893604272631e-40,83.6485066896238
"hsa-miR-628",-0.961118206360418,6.34014167361111,-14.2014305265396,1.86828654387783e-39,1.09761834452822e-37,78.778643853825
"hsa-miR-485-5p",-0.659478712367484,5.99691227083333,-13.6350813236382,7.00005602138719e-37,3.65558481116887e-35,72.8948201100063
"hsa-miR-21",4.82542080706713,14.0830948402778,13.0654704434628,2.39932316995371e-34,1.12768188987825e-32,67.101485497396
"hsa-miR-128a",-2.66079344275618,7.25791698784722,-12.9419880190421,8.35859438215666e-34,3.57139941783057e-32,65.8630294148707
"hsa-miR-128b",-3.09025591484098,7.66675316145833,-12.5608959784117,3.7784618620339e-32,1.47989756262995e-30,62.0820386878119
"hsa-miR-132",-2.06909009116608,7.91649921180556,-12.4098159003596,1.68224493502389e-31,6.08196245739407e-30,60.6008066524601
"hsa-miR-27a",2.68326310883393,10.0849180798611,12.3349816322813,3.51160156334782e-31,1.17889481055248e-29,59.8709313403419
"hsa-miR-330",-1.61640016183745,6.70185144097222,-12.0105824638425,8.28213267282951e-30,2.59506823748658e-28,56.7369565431469
"hsa-miR-323",-1.41251119540636,6.24774116840278,-11.9193794235754,1.99622144287964e-29,5.86390048845895e-28,55.8648071446387
"hsa-miR-329",-1.04746223074205,6.09993447743056,-11.5094856005114,9.90375537273348e-28,2.73809707363808e-26,51.9952709364703
"hsa-miR-23a",2.26772903074204,10.1136103350694,11.1197502795567,3.75118272212534e-26,9.29263300368785e-25,48.3949009349648
"hsa-miR-138",-2.4645304590106,6.669861828125,-11.1195939445765,3.75659632063977e-26,9.29263300368785e-25,48.3934726245356
"hsa-miR-326",-0.552361824381619,5.969542390625,-10.7273566209712,1.34411498309093e-24,3.15867021026367e-23,44.8512876532297
"hsa-miR-490",-0.585013566431097,5.96889351909722,-10.6839619606516,1.98658716462106e-24,4.44617127319952e-23,44.4645681227674
"hsa-miR-124a",-5.93415974982332,9.53585225694444,-10.6683249769639,2.28632340180934e-24,4.88441817659267e-23,44.3254726786159
"hsa-miR-7",-3.68296089893992,7.66390369444444,-10.3483785942095,3.93469957414099e-23,8.04047304280984e-22,41.5096954508347
"hsa-miR-410",-2.18585999081272,7.24064876736111,-10.2690220604764,7.89845801363589e-23,1.5467813610037e-21,40.8203530321271
"hsa-miR-383",-1.04916697985865,6.07325432465278,-9.89135823332815,2.07053909032441e-21,3.89261348980989e-20,37.5904107627781
"hsa-miR-381",-1.11912299681978,6.433646421875,-9.72137842071864,8.76174418311763e-21,1.58385375617896e-19,36.1646020163615
"hsa-miR-582",-0.726774102826853,6.029025203125,-9.64070881564656,1.72691142578937e-20,3.00610507452223e-19,35.4941325975242
"hsa-miR-25",1.93349755795053,9.78968159201389,9.43192849438408,9.81495493363739e-20,1.64751029243199e-18,33.7776954144607
"hsa-miR-106b",1.90799226678445,10.7734184010417,9.29385687111167,3.05125512731648e-19,4.94513762013361e-18,32.6576779108434
"hsa-miR-432",-1.31168624946996,6.99461578125,-9.28695859001999,3.22814312457034e-19,5.05742422849354e-18,32.6020390326797
"hsa-miR-203",-0.37964860212014,5.89265381944444,-9.11834840889597,1.26790722440031e-18,1.92231095312305e-17,31.2516277342605
"hsa-miR-539",-0.282607871731445,5.83940941493056,-8.68912843792291,3.79807650406678e-17,5.57842486534809e-16,27.898203296089
"hsa-miR-379",-1.88366336325088,7.26679422569444,-8.53057770157628,1.29301821127949e-16,1.8415713918223e-15,26.6907708777403
"hsa-miR-411",-1.03444417349824,6.30111512673611,-8.47055477392887,2.04693879057974e-16,2.82959185756611e-15,26.2381614346305
"hsa-miR-95",-1.06582642014133,6.53331881076389,-8.44238036671609,2.53736938868462e-16,3.4073246076622e-15,26.0265659886249
"hsa-miR-342",-1.27728309929328,9.26376115451389,-8.29643448298023,7.6527103991414e-16,9.99103857665683e-15,24.9393038410819
"hsa-miR-15a",1.48709679222614,9.52904623958333,7.9724666033855,8.4180152580592e-15,1.06931545169941e-13,22.579411813658
"hsa-miR-93",1.52356072155476,8.75465361458333,7.9376174763726,1.08475291691378e-14,1.34166808144599e-13,22.33002294887
"hsa-miR-15b",1.74411999999999,11.0342171388889,7.84072143494445,2.18550647710493e-14,2.63381549804953e-13,21.6412253377251
"hsa-miR-504",-0.765848997526501,6.02571509201389,-7.81027717109171,2.71980584135476e-14,3.19577186359184e-13,21.4262158705684
"hsa-miR-338",-3.4379479671378,9.53568502951389,-7.74712254083047,4.27230144743649e-14,4.89751629340281e-13,20.9823496918299
"hsa-miR-29c",-1.67948872084807,10.0707185694444,-7.70467100399557,5.77822975313888e-14,6.46611424756017e-13,20.685631622786
"hsa-miR-758",-0.874616087985856,6.43128451909722,-7.67760723927458,7.00004364282777e-14,7.65121049332337e-13,20.4971588465148
"hsa-miR-155",1.97121650636041,8.48527839756945,7.60447969272912,1.17232442417514e-13,1.25225563491435e-12,19.990599163639
"hsa-miR-598",-0.686699894699649,6.44202637847222,-7.58516394326849,1.34251681474138e-13,1.40218422872989e-12,19.8574582838985
"hsa-miR-154*",-1.06948295865725,6.29521605381944,-7.56173410579342,1.58187741686609e-13,1.61626605636318e-12,19.6963312262238
"hsa-miR-107",-0.976363397173149,10.93782665625,-7.51804078790414,2.14578367848453e-13,2.14578367848453e-12,19.396943008807
"hsa-miR-299-5p",-1.05569714699647,6.60557662847222,-7.38966630156348,5.21334694614123e-13,5.0919671831181e-12,18.5255735236673
"hsa-miR-154",-0.706527709187267,6.312738296875,-7.38702831262123,5.30864663771887e-13,5.0919671831181e-12,18.5077973743971
"hsa-miR-656",-0.264522282685504,5.83508611805556,-7.18386023613324,2.10940811826703e-12,1.98284363117101e-11,17.1545771058423
"hsa-miR-153",-0.413886776678452,5.87128185763889,-6.92291228418574,1.18590367218244e-11,1.09289161946225e-10,15.4628980066347
"hsa-miR-409-5p",-0.389885685865726,6.07331886284722,-6.83833629427268,2.05251206876586e-11,1.85515513907684e-10,14.9259498240383
"hsa-miR-149",-1.74135513745583,9.01109602256945,-6.75760290722819,3.44731030540585e-11,3.05704876139764e-10,14.418629898142
"hsa-miR-210",2.17197049646644,9.11928317534722,6.59283950586011,9.7790362023587e-11,8.5113833613122e-10,13.3992554310834
"hsa-miR-92b",1.37501042120142,8.1699223125,6.57840384090083,1.0703701410366e-10,9.14679938704005e-10,13.3109715780938
"hsa-miR-136",-1.78100752367491,7.72237064583333,-6.46875719273832,2.11477462071268e-10,1.77490012809814e-09,12.6458509231114
"hsa-miR-496",-0.0982229611307357,5.75089779861111,-6.42882302295395,2.70368902660763e-10,2.22935761843086e-09,12.4060071649356
"hsa-miR-324-5p",-1.03064336537102,8.05282504861111,-6.42257866059634,2.80925234524459e-10,2.27646310735337e-09,12.3686198393689
"hsa-miR-127",-1.77250189540636,8.11787200694445,-6.3993082406589,3.23938343746203e-10,2.58052578916467e-09,12.2295683051807
"hsa-miR-340",-0.734624896113064,6.60217970833333,-6.358782806584,4.14734357138476e-10,3.2487524642514e-09,11.9884549172345
"hsa-miR-219",-3.41845369823321,9.88864565625,-6.33006794698587,4.9370100478327e-10,3.80392577455962e-09,11.8184158216336
"hsa-miR-16",1.18190198056538,11.4044518489583,6.32495882660713,5.09216324076847e-10,3.8601882631632e-09,11.7882315382281
"hsa-miR-92",1.21120790141343,10.1546152864583,6.31483130427153,5.413945028808e-10,4.03897486276153e-09,11.7284615783731
"hsa-miR-485-3p",-0.961168306360416,6.39164704340278,-6.29360802325739,6.15413231178101e-10,4.51944091646418e-09,11.6034777357979
"hsa-miR-376a*",-0.17881282296819,5.82811936631944,-6.27372522926534,6.93688093281173e-10,5.01589852064848e-09,11.4867204721555
"hsa-let-7i",1.28536940424029,10.6349721631944,6.19752315842397,1.09442587312615e-09,7.7936387934741e-09,11.0422266759364
"hsa-miR-448",-0.108787092932868,5.729742671875,-6.16654790810691,1.31554814216204e-09,9.22847204203224e-09,10.8629026486426
"hsa-miR-29b",-1.54191818480566,11.060112328125,-6.07529963956151,2.25219841472403e-09,1.55666655135337e-08,10.3392215542618
"hsa-miR-103",-0.896696065017659,10.674447375,-6.01462492891984,3.20824138445826e-09,2.18532384158751e-08,9.99480419951236
"hsa-miR-142-3p",1.68208323250882,9.44454229861111,5.97832156381402,3.95905778614614e-09,2.65822451355527e-08,9.79018663123671
"hsa-miR-133b",-0.629829250176676,6.25885638541667,-5.96535435030984,4.26678194419147e-09,2.82448945601407e-08,9.71736418965842
"hsa-miR-130b",1.42028907738517,8.57541548090278,5.90401335013384,6.0685181129052e-09,3.96139376814645e-08,9.37477470292338
"hsa-miR-331",-0.912103074911656,9.94135444791667,-5.88677191494848,6.6964455954296e-09,4.31141017787933e-08,9.27904555591781
"hsa-miR-130a",0.959799730035334,10.7138398402778,5.76283391462748,1.34942693925943e-08,8.57068461421527e-08,8.5982250903476
"hsa-miR-339",1.11009194734981,7.99220781770833,5.75161900986331,1.43687047188344e-08,9.00438829046955e-08,8.53725477190646
